|1||1||1||1||1||1||1||1||1||1|
|1||0.8892||0.797262||0.733576||0.702891||0.702891||0.733576||0.797262||0.8892||1|
|1||0.797262||0.626961||0.512134||0.454813||0.454813||0.512134||0.626961||0.797262||1|
|1||0.733576||0.512134||0.36017||0.286485||0.286485||0.36017||0.512134||0.733576||1|
|1||0.702891||0.454813||0.286485||0.203747||0.203747||0.286485||0.454813||0.702891||1|
|1||0.702891||0.454813||0.286485||0.203747||0.203747||0.286485||0.454813||0.702891||1|
|1||0.733576||0.512134||0.36017||0.286485||0.286485||0.36017||0.512134||0.733576||1|
|1||0.797262||0.626961||0.512134||0.454813||0.454813||0.512134||0.626961||0.797262||1|
|1||0.8892||0.797262||0.733576||0.702891||0.702891||0.733576||0.797262||0.8892||1|
|1||1||1||1||1||1||1||1||1||1|
