|1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00|
|1.00||0.89||0.80||0.73||0.69||0.67||0.67||0.66||0.66||0.66||0.66||0.66||0.66||0.66||0.66||0.66||0.66||0.66||0.66||0.66||0.66||0.66||0.66||0.66||0.66||0.66||0.66||0.66||0.66||0.66||0.66||0.66||0.66||0.66||0.66||0.66||0.66||0.66||0.66||0.66||0.66||0.66||0.66||0.66||0.66||0.66||0.66||0.66||0.66||0.66||0.66||0.66||0.66||0.66||0.66||0.66||0.66||0.66||0.66||0.66||0.66||0.66||0.66||0.66||0.66||0.66||0.66||0.66||0.66||0.66||0.66||0.66||0.66||0.66||0.66||0.66||0.66||0.66||0.66||0.66||0.66||0.66||0.66||0.66||0.66||0.66||0.66||0.66||0.66||0.66||0.66||0.66||0.66||0.67||0.67||0.69||0.73||0.80||0.89||1.00|
|1.00||0.80||0.62||0.51||0.43||0.40||0.39||0.38||0.38||0.38||0.38||0.38||0.38||0.38||0.38||0.38||0.38||0.38||0.38||0.38||0.38||0.38||0.38||0.38||0.38||0.38||0.38||0.38||0.38||0.38||0.38||0.38||0.38||0.38||0.38||0.38||0.38||0.38||0.38||0.38||0.38||0.38||0.38||0.38||0.38||0.38||0.38||0.38||0.38||0.38||0.38||0.38||0.38||0.38||0.38||0.38||0.38||0.38||0.38||0.38||0.38||0.38||0.38||0.38||0.38||0.38||0.38||0.38||0.38||0.38||0.38||0.38||0.38||0.38||0.38||0.38||0.38||0.38||0.38||0.38||0.38||0.38||0.38||0.38||0.38||0.38||0.38||0.38||0.38||0.38||0.38||0.38||0.38||0.39||0.40||0.43||0.51||0.62||0.80||1.00|
|1.00||0.73||0.51||0.35||0.26||0.21||0.20||0.19||0.19||0.19||0.19||0.19||0.19||0.19||0.19||0.19||0.19||0.19||0.19||0.19||0.19||0.19||0.19||0.19||0.19||0.19||0.19||0.19||0.19||0.19||0.19||0.19||0.19||0.19||0.19||0.19||0.19||0.19||0.19||0.19||0.19||0.19||0.19||0.19||0.19||0.19||0.19||0.19||0.19||0.19||0.19||0.19||0.19||0.19||0.19||0.19||0.19||0.19||0.19||0.19||0.19||0.19||0.19||0.19||0.19||0.19||0.19||0.19||0.19||0.19||0.19||0.19||0.19||0.19||0.19||0.19||0.19||0.19||0.19||0.19||0.19||0.19||0.19||0.19||0.19||0.19||0.19||0.19||0.19||0.19||0.19||0.19||0.19||0.20||0.21||0.26||0.35||0.51||0.73||1.00|
|1.00||0.69||0.43||0.26||0.15||0.10||0.09||0.08||0.08||0.08||0.08||0.08||0.08||0.08||0.08||0.08||0.08||0.08||0.08||0.08||0.08||0.08||0.08||0.08||0.08||0.08||0.08||0.08||0.08||0.08||0.08||0.08||0.08||0.08||0.08||0.08||0.08||0.08||0.08||0.08||0.08||0.08||0.08||0.08||0.08||0.08||0.08||0.08||0.08||0.08||0.08||0.08||0.08||0.08||0.08||0.08||0.08||0.08||0.08||0.08||0.08||0.08||0.08||0.08||0.08||0.08||0.08||0.08||0.08||0.08||0.08||0.08||0.08||0.08||0.08||0.08||0.08||0.08||0.08||0.08||0.08||0.08||0.08||0.08||0.08||0.08||0.08||0.08||0.08||0.08||0.08||0.08||0.08||0.09||0.10||0.15||0.26||0.43||0.69||1.00|
|1.00||0.67||0.40||0.21||0.10||0.05||0.03||0.03||0.03||0.03||0.03||0.03||0.03||0.03||0.03||0.03||0.03||0.03||0.03||0.03||0.03||0.03||0.03||0.03||0.03||0.03||0.03||0.03||0.03||0.03||0.03||0.03||0.03||0.03||0.03||0.03||0.03||0.03||0.03||0.03||0.03||0.03||0.03||0.03||0.03||0.03||0.03||0.03||0.03||0.03||0.03||0.03||0.03||0.03||0.03||0.03||0.03||0.03||0.03||0.03||0.03||0.03||0.03||0.03||0.03||0.03||0.03||0.03||0.03||0.03||0.03||0.03||0.03||0.03||0.03||0.03||0.03||0.03||0.03||0.03||0.03||0.03||0.03||0.03||0.03||0.03||0.03||0.03||0.03||0.03||0.03||0.03||0.03||0.03||0.05||0.10||0.21||0.40||0.67||1.00|
|1.00||0.67||0.39||0.20||0.09||0.03||0.01||0.01||0.01||0.01||0.01||0.01||0.01||0.01||0.01||0.01||0.01||0.01||0.01||0.01||0.01||0.01||0.01||0.01||0.01||0.01||0.01||0.01||0.01||0.01||0.01||0.01||0.01||0.01||0.01||0.01||0.01||0.01||0.01||0.01||0.01||0.01||0.01||0.01||0.01||0.01||0.01||0.01||0.01||0.01||0.01||0.01||0.01||0.01||0.01||0.01||0.01||0.01||0.01||0.01||0.01||0.01||0.01||0.01||0.01||0.01||0.01||0.01||0.01||0.01||0.01||0.01||0.01||0.01||0.01||0.01||0.01||0.01||0.01||0.01||0.01||0.01||0.01||0.01||0.01||0.01||0.01||0.01||0.01||0.01||0.01||0.01||0.01||0.01||0.03||0.09||0.20||0.39||0.67||1.00|
|1.00||0.66||0.38||0.19||0.08||0.03||0.01||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.01||0.03||0.08||0.19||0.38||0.66||1.00|
|1.00||0.66||0.38||0.19||0.08||0.03||0.01||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.01||0.03||0.08||0.19||0.38||0.66||1.00|
|1.00||0.66||0.38||0.19||0.08||0.03||0.01||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.00||0.01||0.03||0.08||0.19||0.38||0.66||1.00|
