|1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00|
|1.00||0.80||0.66||0.58||0.56||0.56||0.58||0.66||0.80||1.00|
|1.00||0.66||0.41||0.28||0.24||0.24||0.28||0.41||0.66||1.00|
|1.00||0.58||0.28||0.13||0.08||0.08||0.13||0.28||0.58||1.00|
|1.00||0.56||0.24||0.08||0.03||0.03||0.08||0.24||0.56||1.00|
|1.00||0.56||0.24||0.08||0.03||0.03||0.08||0.24||0.56||1.00|
|1.00||0.58||0.28||0.13||0.08||0.08||0.13||0.28||0.58||1.00|
|1.00||0.66||0.41||0.28||0.24||0.24||0.28||0.41||0.66||1.00|
|1.00||0.80||0.66||0.58||0.56||0.56||0.58||0.66||0.80||1.00|
|1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00|
