|1||1||1||1||1||1||1||1||1||1||1||1||1||1||1||1||1|
|1||0.913574||0.869141||0.856934||0.859375||0.856934||0.869141||0.913574||1||0.507812||0.507812||0.507812||0.511719||0.53125||0.609375||0.765625||1|
|1||0.869141||0.797852||0.791016||0.795898||0.791016||0.797852||0.869141||1||4.00193e-322||1||0.856934||0.791016||0.791504||0.800781||0.791504||0.791016|
|1||0.856934||0.791016||0.791504||0.800781||0.791504||0.791016||0.856934||1||4.00193e-322||1||0.859375||0.795898||0.800781||0.814453||0.800781||0.795898|
|1||0.859375||0.795898||0.800781||0.814453||0.800781||0.795898||0.859375||1||4.00193e-322||1||0.856934||0.791016||0.791504||0.800781||0.791504||0.791016|
|1||0.856934||0.791016||0.791504||0.800781||0.791504||0.791016||0.856934||1||4.00193e-322||1||0.869141||0.797852||0.791016||0.795898||0.791016||0.797852|
|1||0.869141||0.797852||0.791016||0.795898||0.791016||0.797852||0.869141||1||4.00193e-322||1||0.913574||0.869141||0.856934||0.859375||0.856934||0.869141|
|1||0.913574||0.869141||0.856934||0.859375||0.856934||0.869141||0.913574||1||4.00193e-322||1||1||1||1||1||1||1|
|1||1||1||1||1||1||1||1||1||4.00193e-322||1||0.827148||0.761719||0.768555||0.78125||0.768555||0.761719|
|2.57952e-70||4.39604e+291||1.70409e+290||3.06248e-57||6.1277e-62||2.52455e-52||3.315e-86||4.39587e+291||3.69722e-57||3.6671e-258||0||0||0.00390625||0.0390625||0.179688||0.507812||7.11455e-322|
|6.9461e-310||4.65116e-310||0.179688||0.0390625||0.00390625||0||0||0||0||0||0||0||0.00390625||0.0390625||0.179688||0.507812||2.13436e-321|
|6.9461e-310||4.65116e-310||0.179688||0.0390625||0.00390625||0||0||0||0||0||0||0||0.00390625||0.0390625||0.179688||0.507812||3.55727e-321|
|6.9461e-310||4.65116e-310||0.183594||0.0429688||0.0078125||0.00390625||0.00390625||0.00390625||0.00390625||0.00390625||0.00390625||0.00390625||0.0078125||0.0429688||0.183594||0.511719||4.98018e-321|
|4.65116e-310||6.37345e-322||0||4.65116e-310||4.65116e-310||4.65116e-310||4.65116e-310||4.65116e-310||4.65116e-310||4.65116e-310||4.65116e-310||4.65116e-310||4.65116e-310||4.65116e-310||4.65116e-310||4.65116e-310||4.65116e-310|
|0||4.65116e-310||1||1||1||2.42092e-322||4.65116e-310||4.65116e-310||1||1||1||2.42092e-322||4.65116e-310||4.65116e-310||0.8125||0.875||1|
|4.65116e-310||4.65116e-310||0||0||2.37152e-322||1.58101e-322||4.65116e-310||4.65116e-310||1||1.63042e-322||4.65116e-310||4.65116e-310||1||1.63042e-322||4.65116e-310||4.65116e-310||1|
|6.9461e-310||3.21143e-322||4.65116e-310||4.65116e-310||4.65116e-310||4.65116e-310||4.65116e-310||4.65116e-310||1||1.63042e-322||4.65116e-310||4.65116e-310||1||8.74496e-322||6.9461e-310||6.9461e-310||1.58101e-322|
