|1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00||1.00|
|1.00||0.91||0.87||0.86||0.86||0.86||0.86||0.86||0.86||0.86||0.86||0.86||0.86||0.86||0.86||0.86||0.86||0.86||0.86||0.86||0.86||0.86||0.86||0.86||0.86||0.86||0.86||0.86||0.86||0.86||0.86||0.86||0.85||0.85||0.86||0.86||0.86||0.86||0.87||0.91||1.00|
|1.00||0.87||0.80||0.79||0.79||0.79||0.79||0.79||0.79||0.79||0.79||0.79||0.79||0.79||0.79||0.79||0.79||0.79||0.79||0.79||0.79||0.79||0.79||0.79||0.79||0.79||0.79||0.79||0.79||0.79||0.79||0.79||0.79||0.79||0.79||0.79||0.79||0.79||0.80||0.87||1.00|
|1.00||0.86||0.79||0.78||0.79||0.79||0.79||0.79||0.79||0.79||0.79||0.79||0.79||0.79||0.79||0.79||0.79||0.79||0.79||0.79||0.79||0.79||0.79||0.79||0.79||0.79||0.79||0.79||0.79||0.79||0.79||0.79||0.79||0.79||0.79||0.79||0.79||0.78||0.79||0.86||1.00|
|1.00||0.86||0.79||0.79||0.80||0.80||0.80||0.80||0.80||0.80||0.80||0.80||0.80||0.80||0.80||0.80||0.80||0.80||0.80||0.80||0.80||0.80||0.80||0.80||0.80||0.80||0.80||0.80||0.80||0.80||0.80||0.80||0.80||0.80||0.80||0.80||0.80||0.79||0.79||0.86||1.00|
|1.00||0.86||0.79||0.79||0.80||0.80||0.80||0.80||0.80||0.80||0.81||0.81||0.81||0.81||0.81||0.81||0.81||0.81||0.81||0.81||0.81||0.81||0.81||0.81||0.81||0.80||0.80||0.80||0.80||0.80||0.80||0.80||0.80||0.80||0.80||0.80||0.80||0.79||0.79||0.86||1.00|
|1.00||0.86||0.79||0.79||0.80||0.80||0.80||0.80||0.80||0.80||0.81||0.81||0.81||0.81||0.81||0.81||0.81||0.81||0.81||0.81||0.81||0.81||0.81||0.81||0.81||0.81||0.80||0.80||0.80||0.80||0.80||0.80||0.80||0.80||0.80||0.80||0.80||0.79||0.79||0.86||1.00|
|1.00||0.86||0.79||0.79||0.80||0.80||0.80||0.80||0.81||0.81||0.81||0.81||0.81||0.81||0.81||0.81||0.81||0.81||0.81||0.81||0.81||0.81||0.81||0.81||0.81||0.81||0.81||0.81||0.81||0.81||0.81||0.80||0.80||0.80||0.80||0.80||0.80||0.79||0.79||0.85||1.00|
|1.00||0.86||0.79||0.79||0.80||0.80||0.80||0.81||0.81||0.81||0.81||0.81||0.81||0.81||0.81||0.82||0.82||0.82||0.82||0.82||0.82||0.82||0.82||0.82||0.81||0.81||0.81||0.81||0.81||0.81||0.81||0.81||0.80||0.80||0.80||0.80||0.80||0.79||0.79||0.85||1.00|
|1.00||0.86||0.79||0.79||0.80||0.80||0.80||0.81||0.81||0.81||0.82||0.82||0.82||0.82||0.82||0.82||0.82||0.82||0.82||0.82||0.82||0.82||0.82||0.82||0.82||0.82||0.81||0.81||0.81||0.81||0.81||0.81||0.80||0.80||0.80||0.80||0.80||0.79||0.79||0.85||1.00|
|1.00||0.86||0.79||0.79||0.80||0.81||0.81||0.81||0.81||0.82||0.82||0.82||0.82||0.82||0.82||0.82||0.82||0.82||0.83||0.83||0.83||0.82||0.82||0.82||0.82||0.82||0.81||0.81||0.81||0.81||0.81||0.81||0.80||0.80||0.80||0.80||0.80||0.79||0.79||0.85||1.00|
|1.00||0.86||0.79||0.79||0.80||0.81||0.81||0.81||0.81||0.82||0.82||0.82||0.82||0.82||0.82||0.82||0.83||0.83||0.83||0.83||0.83||0.83||0.83||0.82||0.82||0.82||0.82||0.81||0.81||0.81||0.81||0.81||0.80||0.80||0.80||0.80||0.80||0.78||0.79||0.85||1.00|
|1.00||0.86||0.79||0.79||0.80||0.81||0.81||0.81||0.81||0.82||0.82||0.82||0.82||0.82||0.82||0.83||0.83||0.83||0.83||0.83||0.83||0.83||0.83||0.82||0.82||0.82||0.82||0.81||0.81||0.81||0.81||0.80||0.80||0.80||0.80||0.80||0.79||0.78||0.78||0.85||1.00|
